jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
Malik Hairston,2010,G,106,27,41,5,19,11,30,0.7073170731707317,0.4,0.3684210526315789,0.18181818181818182,0.5666666666666667,0.3867924528301887,0.04716981132075472,0.1792452830188679,0.10377358490566038,0.2830188679245283,0.5377358490566038,1.98,22,220
Malik Monk,2018,G,463,58,39,41,108,237,38,0.5897435897435898,0.3902439024390244,0.2962962962962963,0.3459915611814346,0.8421052631578947,0.08423326133909287,0.08855291576673865,0.23326133909287258,0.5118790496760259,0.08207343412526998,0.39956803455723544,1.91,19,200
Malik Monk,2019,G,688,73,105,66,91,324,102,0.6666666666666666,0.24242424242424243,0.37362637362637363,0.33024691358024694,0.8823529411764706,0.15261627906976744,0.09593023255813954,0.13226744186046513,0.47093023255813954,0.14825581395348839,0.46075581395348836,1.91,20,200
Malik Monk,2020,G,588,55,127,111,61,189,100,0.6929133858267716,0.43243243243243246,0.36065573770491804,0.2857142857142857,0.82,0.21598639455782312,0.18877551020408162,0.10374149659863946,0.32142857142857145,0.17006802721088435,0.5,1.91,21,200
Malik Monk,2021,G,481,43,80,66,78,185,72,0.625,0.3787878787878788,0.3717948717948718,0.4,0.8194444444444444,0.16632016632016633,0.13721413721413722,0.16216216216216217,0.38461538461538464,0.1496881496881497,0.49272349272349275,1.91,22,200
Malik Monk,2022,G,943,75,163,156,120,387,117,0.7300613496932515,0.48717948717948717,0.325,0.40568475452196384,0.7948717948717948,0.1728525980911983,0.16542948038176034,0.12725344644750794,0.41039236479321317,0.12407211028632026,0.513255567338282,1.91,23,200
Malik Monk,2023,G,1145,84,161,201,146,381,256,0.7142857142857143,0.4427860696517413,0.3356164383561644,0.37270341207349084,0.890625,0.1406113537117904,0.17554585152838428,0.1275109170305677,0.3327510917030568,0.22358078602620088,0.5441048034934498,1.91,24,200
Malik Monk,2024,G,1099,72,134,183,216,361,205,0.664179104477612,0.47540983606557374,0.42592592592592593,0.3573407202216066,0.8292682926829268,0.12192902638762511,0.1665150136487716,0.19654231119199272,0.32848043676069155,0.18653321201091902,0.5159235668789809,1.91,25,200
Manny Harris,2011,G,381,49,86,60,50,92,93,0.5465116279069767,0.25,0.24,0.3695652173913043,0.7634408602150538,0.22572178477690288,0.15748031496062992,0.13123359580052493,0.24146981627296588,0.2440944881889764,0.46981627296587924,1.96,21,185
Manny Harris,2014,G,82,9,23,12,15,20,12,0.6521739130434783,0.08333333333333333,0.3333333333333333,0.35,0.8333333333333334,0.2804878048780488,0.14634146341463414,0.18292682926829268,0.24390243902439024,0.14634146341463414,0.4634146341463415,1.96,24,185
